model_label,pooling,layer,metric,family,mean,ci95_low,ci95_high,exact_sign_flip_p,seed_units,scope
Qwen3-8B,span_end,26,relative_rms_specificity,deformation,0.9300079755485058,0.9103444550558925,0.9488398369401694,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,26,cosine_specificity,deformation,0.4656329106190242,0.4495987697126111,0.47851473215385343,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,27,correct_distance_specificity,retention,0.8692181885242463,0.8153161680698395,0.9212499678134918,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,27,margin_damage_specificity,retention,0.4353600944392383,0.40928903163177893,0.4586031090770848,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,27,accuracy_damage_specificity,retention,0.07000000029802322,-0.020000000298023225,0.17000000104308127,0.34375,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,27,relative_rms_specificity,deformation,0.8978888634592295,0.8794442909769713,0.9150591284036637,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,27,cosine_specificity,deformation,0.4569483453873545,0.4405510508740554,0.46984111348108853,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,28,correct_distance_specificity,retention,0.7831286370754242,0.7320163771510124,0.8324980449676515,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,28,margin_damage_specificity,retention,0.42155393697321414,0.39303128093015405,0.4472574551892467,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,28,accuracy_damage_specificity,retention,0.0900000013411045,0.0,0.19000000283122062,0.171875,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,28,relative_rms_specificity,deformation,0.8532727684825658,0.835595244113356,0.8693293437361718,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,28,cosine_specificity,deformation,0.43296318884240464,0.4184587249852484,0.4452887551067397,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,29,correct_distance_specificity,retention,0.7577200591564178,0.7057535946369171,0.8084973394870758,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,29,margin_damage_specificity,retention,0.41358260170090944,0.3846656274050474,0.44090861882490573,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,29,accuracy_damage_specificity,retention,0.10000000298023223,0.020000000298023225,0.1900000050663948,0.09375,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,29,relative_rms_specificity,deformation,0.8137659560889006,0.7963505316525697,0.8291998974978924,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,29,cosine_specificity,deformation,0.4005051231244579,0.38637191616842753,0.41167793171451195,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,30,correct_distance_specificity,retention,0.701728355884552,0.6453852044045925,0.7563432013988495,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,30,margin_damage_specificity,retention,0.40300274807959796,0.37204733304679394,0.4334767032414675,0.001953125,10,exploratory_layerwise_no_layer_selection
