model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,prompt_running,16,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5166666666666667,0.4633333333333333,0.57,0.15104996509110152,0.1,0.5166666666666666,0.69,0.09666666666666666,32
Qwen3-8B,prompt_running,16,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.43,0.3933333333333334,0.4666666666666667,0.10553639672872464,0.1,0.43,0.9666666666666667,0.05333333333333334,32
Qwen3-8B,prompt_running,16,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.49666666666666665,0.4600000000000001,0.5333333333333332,0.09994251221140298,0.1,0.4966666666666667,0.7833333333333333,0.13666666666666666,32
Qwen3-8B,prompt_running,16,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.46,0.42,0.5000000000000001,0.11626367179523595,0.1,0.45999999999999996,0.8266666666666667,0.1,32
Qwen3-8B,prompt_running,16,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.48333333333333334,0.4266666666666666,0.5400833333333322,0.16626388110747187,0.1,0.4833333333333333,0.8466666666666667,0.04,32
Qwen3-8B,prompt_running,16,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.41333333333333333,0.3666666666666666,0.4633333333333333,0.13829836145670416,0.1,0.4133333333333333,1.1633333333333333,-0.3566666666666667,32
Qwen3-8B,prompt_running,17,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5066666666666667,0.45999999999999996,0.5500000000000002,0.1311312407431981,0.1,0.5066666666666666,0.6966666666666667,0.11666666666666667,32
Qwen3-8B,prompt_running,17,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.43333333333333335,0.39666666666666667,0.47,0.10283342182227603,0.1,0.4333333333333333,0.9133333333333333,0.10666666666666667,32
Qwen3-8B,prompt_running,17,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4866666666666667,0.44666666666666666,0.5266666666666666,0.11366415543118706,0.1,0.4866666666666667,0.8166666666666667,0.11666666666666667,32
Qwen3-8B,prompt_running,17,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4266666666666667,0.39000000000000007,0.4633333333333333,0.10482607379429242,0.1,0.42666666666666664,0.87,0.18333333333333332,32
