model,variant,pooling,layer,head,layer_type,examples,seeds,pool_sum,pool_coverage,pool_primary,pool_enrichment,pool_effective_number,positive_contrast,density_enrichment_gt_one,is_broad_candidate,candidate_rank
Qwen3-8B,v4.4,span_mean,4,31,full_attention,180,20,0.0012023309305933,0.8135525273148508,0.0009640851640847,2.2490300968460093,4.755437561042587,True,True,True,317.0
Qwen3-8B,v4.4,span_mean,5,0,full_attention,180,20,0.0008745950798602,0.6966942732826851,0.0006118261124191,1.4966651239003308,4.007241581275496,True,True,True,427.0
Qwen3-8B,v4.4,span_mean,5,1,full_attention,180,20,0.0017981404504123,0.6972057074485953,0.001251853073133,3.0572282539508056,4.027862956362805,True,True,True,240.0
Qwen3-8B,v4.4,span_mean,5,2,full_attention,180,20,0.0009989778417446,0.8854895974971626,0.0008421444121728,1.567857461743699,5.17268740393084,True,True,True,344.0
Qwen3-8B,v4.4,span_mean,5,3,full_attention,180,20,0.0007617286482706,0.6977661952659856,0.0005343616783486,1.2878339876226037,4.030574230544338,True,True,True,458.0
Qwen3-8B,v4.4,span_mean,5,4,full_attention,180,20,0.0020000146679345,0.6725478766381202,0.0013675619817594,3.347138702867405,3.935263559630447,True,True,True,219.0
Qwen3-8B,v4.4,span_mean,5,5,full_attention,180,20,0.0021305279229737,0.8119360824101227,0.0016959455024181,3.727677198976096,4.736956984691113,True,True,True,164.0
Qwen3-8B,v4.4,span_mean,5,6,full_attention,180,20,0.0014349516017141,0.7038371961303691,0.0010073726758632,2.4372933251326154,4.051477711082472,True,True,True,300.0
Qwen3-8B,v4.4,span_mean,5,7,full_attention,180,20,0.0008339405881567,0.8204917271280938,0.0006820984825218,1.4282509688825245,4.822522799204601,True,True,True,400.0
Qwen3-8B,v4.4,span_mean,5,8,full_attention,180,20,3.0983429724645385e-05,0.6015964130812216,1.6004650404094316e-05,0.0570761087768839,3.447665418895959,True,False,False,
Qwen3-8B,v4.4,span_mean,5,9,full_attention,180,20,2.511030566603425e-05,0.6557027770108632,1.4874032771566075e-05,0.0425098499437339,3.773761182257923,True,False,False,
Qwen3-8B,v4.4,span_mean,5,10,full_attention,180,20,0.0018129087909357,0.6419501054668237,0.001075951639804,3.020302421539652,3.567838458287,True,True,True,281.0
Qwen3-8B,v4.4,span_mean,5,11,full_attention,180,20,0.0016084352184375,0.673313146159117,0.0009990846750868,2.8239082303473864,3.85883571087204,True,True,True,304.0
Qwen3-8B,v4.4,span_mean,5,12,full_attention,180,20,0.0007443402922565,0.7525103350531298,0.0005571627283675,1.2482005289351672,4.413649038817258,True,True,True,453.0
Qwen3-8B,v4.4,span_mean,5,13,full_attention,180,20,0.0021349635631546,0.7231129473552614,0.0015150988298905,4.104473117626584,4.227129687075851,True,True,True,190.0
Qwen3-8B,v4.4,span_mean,5,14,full_attention,180,20,0.0011104070522277,0.7604689036588704,0.0008312592290729,1.8770841696875664,4.438838602725889,True,True,True,348.0
Qwen3-8B,v4.4,span_mean,5,15,full_attention,180,20,0.0012149105611064,0.7442580042168915,0.0008963489504604,2.0964217215328462,4.327319524568223,True,True,True,327.0
