model,pooling,layer,full_space_discovery_cv_r2,pca3_discovery_cv_r2,pca3_ridge_alpha,pca_evr_pc1,pca_evr_pc1_2,pca_evr_pc1_3,pca_evr_pc1_6,count_signal_capture_pc1_3,discovery_loo_noise_to_signal,discovery_compactness,centroid_step_cv,centroid_path_to_chord,centroid_successive_cosine,manifold_fidelity_m3,within_decodability_gate,probe_optimal,manifold_display
Qwen3-8B,span_end,10,0.9744445204734802,0.7061767203075882,1.0,0.5605899691581726,0.6471179351210594,0.6890967339277267,0.7736882641911507,0.941103747469747,0.8846181366010217,0.5306114700793111,0.8695080876350403,1.5221901577101211,0.2182707503276449,0.34410765028408424,True,False,False
Qwen3-8B,span_end,11,0.9813629865646364,0.6990906560836541,10.0,0.5481341481208801,0.6439755782485008,0.6872036494314671,0.7747190315276384,0.9316793321749192,0.859596418017023,0.537751089597359,0.8373634219169617,1.6137482321776548,0.1547587887085769,0.3442969834568779,True,False,False
Qwen3-8B,span_end,12,0.9817358374595642,0.8534674038861547,1.0,0.544972836971283,0.6402891650795937,0.6849277094006538,0.7730610352009535,0.9495287854470282,0.8389587519069702,0.5437859870228281,0.8270948529243469,1.6621124612139244,0.1434226782897599,0.3536558801831779,True,False,False
Qwen3-8B,span_end,13,0.9824634552001952,0.8145635137351711,1.0,0.5343358516693115,0.6373809352517128,0.682860903441906,0.7670698389410973,0.940859679621325,0.8582832558117613,0.5381310932402316,0.8965749740600586,1.6508216285985775,0.15874230565411,0.3457364687697327,True,False,False
Qwen3-8B,span_end,14,0.9801239967346193,0.8651525076298908,1.0,0.5174922943115234,0.6226706057786942,0.6700859852135181,0.7551169451326132,0.9332447717882959,0.8557934695268994,0.5388530655056846,0.807776927947998,1.8506189442971868,-0.0160039795954829,0.3369740505168109,True,False,False
Qwen3-8B,span_end,15,0.97629154920578,0.8574657824424408,1.0,0.5157894492149353,0.6236755549907684,0.6685140132904053,0.7493071388453245,0.938974220768473,0.8593050973172547,0.5378353458197234,0.8611903190612793,1.8099132445093389,-0.0148803568628589,0.337608618191754,True,False,False
Qwen3-8B,span_end,16,0.9714869856834412,0.8256032945849828,1.0,0.4916684329509735,0.6030948832631111,0.646851621568203,0.7248462717980146,0.9377129769508434,0.9041529942894992,0.5251678846179754,0.8768545389175415,1.873915303970008,-0.0761878096588046,0.318546441134331,True,False,False
Qwen3-8B,span_end,17,0.9653451800346374,0.8013758780637581,1.0,0.4747973382472992,0.5816717371344566,0.6232633329927921,0.7024000231176615,0.9344267971939355,0.9628889871110313,0.5094531614198897,0.8238052129745483,1.9000339922641007,-0.0826500772902348,0.29670244414282243,False,False,False
Qwen3-8B,span_end,18,0.9614511847496032,0.8032874338290463,1.0,0.472538560628891,0.5763845071196556,0.6150866337120533,0.6909179650247097,0.932952688341733,0.9738654599604099,0.5066201421955361,0.8048276901245117,1.9368091428091203,-0.1116914995298131,0.29072231118337555,False,False,False
Qwen3-8B,span_end,19,0.949189841747284,0.7463612167634514,1.0,0.4164050221443176,0.5356122776865959,0.5759156793355942,0.649495504796505,0.9148506794769319,1.0067831955775044,0.49830993313267397,0.7399626970291138,2.260468552818712,-0.242190768558397,0.26254796817249837,False,False,False
Qwen3-8B,span_end,20,0.9358604788780212,0.6349467247688396,1.0,0.3590961992740631,0.46406369656324387,0.5077162645757198,0.6060129888355732,0.8931498182186124,1.1749935579264998,0.4597714767271937,0.7825705409049988,2.249898769930171,-0.2312815485290393,0.20849104943774788,False,False,False
Qwen3-8B,span_end,21,0.9301247715950012,0.6350548777383309,1.0,0.35097232460975647,0.45414067059755325,0.4958402067422867,0.5940250530838966,0.8950829183022402,1.205257544888142,0.45346177471109084,0.7995076775550842,2.2332246668864024,-0.2301924409217337,0.20125454294046366,False,False,False
Qwen3-8B,span_end,22,0.9132128953933716,0.5587928629985057,1.0,0.2662346661090851,0.3467344418168068,0.3994581550359726,0.5094100125133991,0.8601828518135451,1.526584331426656,0.3957912615706526,0.7354443669319153,2.4240534685636708,-0.2673071098065156,0.13599666977472297,False,False,False
Qwen3-8B,span_end,23,0.8548906207084656,0.4901761299117333,1.0,0.20712246000766754,0.26858406141400337,0.31247032806277275,0.4043956734240055,0.8198635880137817,1.796448223351273,0.35759646527679906,0.6540475487709045,2.65080580703954,-0.3180917420502925,0.09161015111031724,False,False,False
Qwen3-8B,span_end,24,0.8290543556213379,0.4761359860100933,1.0,0.18099580705165863,0.23677879571914673,0.2727278470993042,0.35230960324406624,0.7914920023476356,1.9533074923621085,0.3386034141674093,0.6110793352127075,2.742711400007509,-0.3364384512650369,0.07309157964582207,False,False,False
Qwen3-8B,span_end,25,0.8009818315505981,0.44036181062712637,1.0,0.16299743950366974,0.21100442484021187,0.2453446052968502,0.32212600111961365,0.7549737686185177,2.098538085189263,0.3227328412646955,0.5713691711425781,2.84313604694302,-0.3490073587401919,0.05977939795433294,False,False,False
Qwen3-8B,span_end,26,0.7659903168678284,0.4225810955478527,1.0,0.14569823443889618,0.18952197954058647,0.22354571893811226,0.29904914647340775,0.727255133370533,2.230263320394259,0.3095722858525194,0.527056872844696,2.9850022726252985,-0.3634679061874725,0.05032864367877786,False,False,False
